Year,Country,Total
2010,Pakistan,154.0
2011,Pakistan,155.0
2012,Pakistan,155.0
2013,Pakistan,152.0
2014,Pakistan,157.0
2015,Pakistan,166.0
2016,Pakistan,196.0
2017,Pakistan,216.0
2018,Pakistan,205.0
2019,Pakistan,206.0
2020,Pakistan,201.0
2021,Pakistan,223.0
2022,Pakistan,200.0
2014,Philippines,101.0
2015,Philippines,112.0
2016,Philippines,122.0
2017,Philippines,135.0
2018,Philippines,142.0
2019,Philippines,144.0
2020,Philippines,133.0
2021,Philippines,143.0
2022,Philippines,150.0
1911,Poland,100.0
1912,Poland,111.0
1913,Poland,116.0
1916,Poland,109.0
1917,Poland,121.0
1918,Poland,102.0
1940,Poland,167.0
1941,Poland,165.0
1942,Poland,182.0
1943,Poland,198.0
1944,Poland,189.0
1946,Poland,105.0
1949,Poland,105.0
1950,Poland,112.0
1951,Poland,122.0
1952,Poland,128.0
1953,Poland,139.0
1954,Poland,148.0
1955,Poland,154.0
1956,Poland,166.0
1957,Poland,179.0
1958,Poland,177.0
1959,Poland,190.0
1960,Poland,200.0
1961,Poland,207.0
1962,Poland,217.0
1963,Poland,231.0
1964,Poland,243.0
1965,Poland,247.0
1966,Poland,252.0
1967,Poland,259.0
1968,Poland,276.0
1969,Poland,293.0
1970,Poland,304.0
1971,Poland,313.0
1972,Poland,330.0
1973,Poland,336.0
1974,Poland,346.0
1975,Poland,375.0
1976,Poland,398.0
1977,Poland,418.0
1978,Poland,431.0
1979,Poland,441.0
1980,Poland,463.0
1981,Poland,409.0
1982,Poland,421.0
1983,Poland,421.0
1984,Poland,432.0
1985,Poland,445.0
1986,Poland,452.0
1987,Poland,464.0
1988,Poland,444.0
1989,Poland,422.0
1990,Poland,377.0
1991,Poland,374.0
1992,Poland,365.0
1993,Poland,365.0
1994,Poland,360.0
1995,Poland,363.0
1996,Poland,377.0
1997,Poland,367.0
1998,Poland,339.0
1999,Poland,329.0
2000,Poland,317.0
2001,Poland,314.0
2002,Poland,306.0
2003,Poland,319.0
2004,Poland,324.0
2005,Poland,323.0
2006,Poland,337.0
2007,Poland,336.0
2008,Poland,330.0
2009,Poland,316.0
2010,Poland,334.0
2011,Poland,334.0
2012,Poland,326.0
2013,Poland,322.0
2014,Poland,310.0
2015,Poland,313.0
2016,Poland,324.0
2017,Poland,337.0
2018,Poland,336.0
2019,Poland,318.0
2020,Poland,302.0
2021,Poland,331.0
2022,Poland,323.0
2017,Qatar,100.0
2019,Qatar,101.0
2020,Qatar,103.0
2021,Qatar,107.0
2022,Qatar,101.0
1968,Romania,100.0
1969,Romania,112.0
1970,Romania,120.0
1971,Romania,126.0
1972,Romania,132.0
1973,Romania,145.0
1974,Romania,151.0
1975,Romania,162.0
1976,Romania,174.0
1977,Romania,178.0
1978,Romania,193.0
1979,Romania,195.0
1980,Romania,196.0
1981,Romania,197.0
1982,Romania,195.0
1983,Romania,200.0
1984,Romania,188.0
1985,Romania,193.0
1986,Romania,201.0
1987,Romania,211.0
1988,Romania,212.0
1989,Romania,213.0
1990,Romania,177.0
1991,Romania,142.0
1992,Romania,132.0
1993,Romania,123.0
1994,Romania,121.0
1995,Romania,126.0
1996,Romania,129.0
1997,Romania,118.0
1998,Romania,105.0
2003,Romania,104.0
2004,Romania,103.0
2005,Romania,102.0
2006,Romania,104.0
2007,Romania,109.0
2008,Romania,108.0
1931,Russia,115.0
1932,Russia,129.0
1933,Russia,145.0
1934,Russia,175.0
1935,Russia,198.0
1936,Russia,227.0
1937,Russia,232.0
1938,Russia,245.0
1939,Russia,248.0
1940,Russia,297.0
1941,Russia,261.0
1942,Russia,142.0
1943,Russia,148.0
1944,Russia,215.0
1945,Russia,227.0
1946,Russia,256.0
1947,Russia,308.0
1948,Russia,328.0
1949,Russia,372.0
1950,Russia,415.0
1951,Russia,450.0
1952,Russia,482.0
1953,Russia,510.0
1954,Russia,556.0
1955,Russia,631.0
1956,Russia,692.0
1957,Russia,757.0
1958,Russia,808.0
1959,Russia,850.0
1960,Russia,885.0
1961,Russia,912.0
1962,Russia,957.0
1963,Russia,1027.0
1964,Russia,1092.0
1965,Russia,1158.0
1966,Russia,1223.0
1967,Russia,1279.0
1968,Russia,1315.0
1969,Russia,1370.0
1970,Russia,1441.0
1971,Russia,1529.0
1972,Russia,1608.0
1973,Russia,1676.0
1974,Russia,1740.0
1975,Russia,1829.0
1976,Russia,1900.0
1977,Russia,1964.0
1978,Russia,2032.0
1979,Russia,2049.0
1980,Russia,2129.0
1981,Russia,2089.0
1982,Russia,2128.0
1983,Russia,2158.0
1984,Russia,2177.0
1985,Russia,2348.0
1986,Russia,2349.0
1987,Russia,2358.0
1988,Russia,2436.0
1989,Russia,2405.0
1990,Russia,2536.0
1991,Russia,2407.0
1992,Russia,1967.0
1993,Russia,1867.0
1994,Russia,1648.0
1995,Russia,1620.0
1996,Russia,1587.0
1997,Russia,1482.0
1998,Russia,1465.0
1999,Russia,1494.0
2000,Russia,1479.0
2001,Russia,1516.0
2002,Russia,1507.0
2003,Russia,1537.0
2004,Russia,1544.0
2005,Russia,1563.0
2006,Russia,1623.0
2007,Russia,1624.0
2008,Russia,1652.0
2009,Russia,1545.0
2010,Russia,1633.0
2011,Russia,1686.0
2012,Russia,1701.0
2013,Russia,1640.0
2014,Russia,1640.0
2015,Russia,1639.0
2016,Russia,1635.0
2017,Russia,1666.0
2018,Russia,1712.0
2019,Russia,1705.0
2020,Russia,1633.0
2021,Russia,1712.0
2022,Russia,1652.0
1976,Saudi Arabia,101.0
1977,Saudi Arabia,118.0
1978,Saudi Arabia,115.0
1979,Saudi Arabia,138.0
1980,Saudi Arabia,169.0
1981,Saudi Arabia,175.0
1982,Saudi Arabia,158.0
1983,Saudi Arabia,161.0
1984,Saudi Arabia,156.0
1985,Saudi Arabia,172.0
1986,Saudi Arabia,205.0
1987,Saudi Arabia,190.0
1988,Saudi Arabia,202.0
1989,Saudi Arabia,203.0
1990,Saudi Arabia,208.0
1991,Saudi Arabia,289.0
1992,Saudi Arabia,316.0
1993,Saudi Arabia,341.0
1994,Saudi Arabia,334.0
1995,Saudi Arabia,268.0
1996,Saudi Arabia,263.0
1997,Saudi Arabia,222.0
1998,Saudi Arabia,213.0
1999,Saudi Arabia,231.0
2000,Saudi Arabia,302.0
2001,Saudi Arabia,303.0
2002,Saudi Arabia,332.0
2003,Saudi Arabia,334.0
2004,Saudi Arabia,401.0
2005,Saudi Arabia,403.0
2006,Saudi Arabia,439.0
2007,Saudi Arabia,394.0
2008,Saudi Arabia,440.0
2009,Saudi Arabia,473.0
2010,Saudi Arabia,525.0
2011,Saudi Arabia,503.0
2012,Saudi Arabia,567.0
2013,Saudi Arabia,545.0
2014,Saudi Arabia,613.0
2015,Saudi Arabia,679.0
2016,Saudi Arabia,697.0
2017,Saudi Arabia,681.0
2018,Saudi Arabia,687.0
2019,Saudi Arabia,707.0
2020,Saudi Arabia,611.0
2021,Saudi Arabia,631.0
2022,Saudi Arabia,663.0
1961,South Africa,102.0
1962,South Africa,106.0
1963,South Africa,110.0
1964,South Africa,120.0
1965,South Africa,128.0
1966,South Africa,128.0
1967,South Africa,134.0
1968,South Africa,138.0
1969,South Africa,143.0
1970,South Africa,150.0
1971,South Africa,168.0
1972,South Africa,172.0
1973,South Africa,173.0
1974,South Africa,177.0
1975,South Africa,185.0
1976,South Africa,193.0
1977,South Africa,200.0
1978,South Africa,202.0
1979,South Africa,219.0
1980,South Africa,228.0
1981,South Africa,257.0
1982,South Africa,280.0
1983,South Africa,292.0
1984,South Africa,316.0
1985,South Africa,324.0
1986,South Africa,330.0
1987,South Africa,329.0
1988,South Africa,343.0
1989,South Africa,341.0
1990,South Africa,313.0
1991,South Africa,326.0
1992,South Africa,301.0
1993,South Africa,320.0
1994,South Africa,339.0
1995,South Africa,362.0
1996,South Africa,364.0
1997,South Africa,385.0
1998,South Africa,377.0
1999,South Africa,375.0
2000,South Africa,378.0
2001,South Africa,372.0
2002,South Africa,357.0
2003,South Africa,404.0
2004,South Africa,449.0
2005,South Africa,416.0
2006,South Africa,447.0
2007,South Africa,465.0
2008,South Africa,495.0
2009,South Africa,481.0
2010,South Africa,463.0
2011,South Africa,466.0
2012,South Africa,459.0
2013,South Africa,459.0
2014,South Africa,472.0
2015,South Africa,446.0
2016,South Africa,457.0
2017,South Africa,439.0
2018,South Africa,435.0
2019,South Africa,465.0
2020,South Africa,435.0
2021,South Africa,426.0
2022,South Africa,404.0
1977,South Korea,105.0
1978,South Korea,113.0
1979,South Korea,133.0
1980,South Korea,135.0
1981,South Korea,140.0
1982,South Korea,141.0
1983,South Korea,149.0
1984,South Korea,161.0
1985,South Korea,169.0
1986,South Korea,176.0
1987,South Korea,185.0
1988,South Korea,211.0
1989,South Korea,224.0
1990,South Korea,251.0
1991,South Korea,276.0
1992,South Korea,300.0
1993,South Korea,330.0
1994,South Korea,356.0
1995,South Korea,384.0
1996,South Korea,421.0
1997,South Korea,445.0
1998,South Korea,378.0
1999,South Korea,411.0
2000,South Korea,440.0
2001,South Korea,456.0
2002,South Korea,476.0
2003,South Korea,485.0
2004,South Korea,491.0
2005,South Korea,499.0
2006,South Korea,503.0
2007,South Korea,522.0
2008,South Korea,533.0
2009,South Korea,538.0
2010,South Korea,594.0
2011,South Korea,623.0
2012,South Korea,628.0
2013,South Korea,635.0
2014,South Korea,629.0
2015,South Korea,634.0
2016,South Korea,638.0
2017,South Korea,655.0
2018,South Korea,670.0
2019,South Korea,646.0
2020,South Korea,598.0
2021,South Korea,616.0
2022,South Korea,601.0
1970,Spain,117.0
1971,Spain,128.0
1972,Spain,145.0
1973,Spain,155.0
1974,Spain,173.0
1975,Spain,181.0
1976,Spain,198.0
1977,Spain,195.0
1978,Spain,200.0
1979,Spain,203.0
1980,Spain,214.0
1981,Spain,206.0
1982,Spain,209.0
1983,Spain,203.0
1984,Spain,198.0
1985,Spain,200.0
1986,Spain,189.0
1987,Spain,190.0
1988,Spain,197.0
1989,Spain,225.0
1990,Spain,230.0
1991,Spain,240.0
1992,Spain,249.0
1993,Spain,240.0
1994,Spain,252.0
1995,Spain,266.0
1996,Spain,253.0
1997,Spain,266.0
1998,Spain,275.0
1999,Spain,298.0
2000,Spain,310.0
2001,Spain,312.0
2002,Spain,332.0
2003,Spain,336.0
2004,Spain,353.0
2005,Spain,368.0
2006,Spain,360.0
2007,Spain,367.0
2008,Spain,336.0
2009,Spain,296.0
2010,Spain,283.0
2011,Spain,284.0
2012,Spain,278.0
2013,Spain,252.0
2014,Spain,254.0
2015,Spain,271.0
2016,Spain,260.0
2017,Spain,274.0
2018,Spain,269.0
2019,Spain,251.0
2020,Spain,214.0
2021,Spain,230.0
2022,Spain,246.0
1988,Taiwan,113.0
1989,Taiwan,123.0
1990,Taiwan,124.0
1991,Taiwan,134.0
1992,Taiwan,142.0
1993,Taiwan,154.0
1994,Taiwan,161.0
1995,Taiwan,169.0
1996,Taiwan,177.0
1997,Taiwan,191.0
1998,Taiwan,200.0
1999,Taiwan,208.0
2000,Taiwan,227.0
2001,Taiwan,230.0
2002,Taiwan,237.0
2003,Taiwan,248.0
2004,Taiwan,258.0
2005,Taiwan,266.0
2006,Taiwan,276.0
2007,Taiwan,280.0
2008,Taiwan,267.0
2009,Taiwan,253.0
2010,Taiwan,270.0
2011,Taiwan,276.0
2012,Taiwan,273.0
2013,Taiwan,274.0
2014,Taiwan,276.0
2015,Taiwan,276.0
2016,Taiwan,280.0
2017,Taiwan,285.0
2018,Taiwan,283.0
2019,Taiwan,274.0
2020,Taiwan,272.0
2021,Taiwan,291.0
2022,Taiwan,278.0
1992,Thailand,106.0
1993,Thailand,122.0
1994,Thailand,137.0
1995,Thailand,154.0
1996,Thailand,174.0
1997,Thailand,181.0
1998,Thailand,160.0
1999,Thailand,167.0
2000,Thailand,167.0
2001,Thailand,172.0
2002,Thailand,185.0
2003,Thailand,191.0
2004,Thailand,207.0
2005,Thailand,214.0
2006,Thailand,216.0
2007,Thailand,224.0
2008,Thailand,224.0
2009,Thailand,229.0
2010,Thailand,241.0
2011,Thailand,245.0
2012,Thailand,262.0
2013,Thailand,264.0
2014,Thailand,272.0
2015,Thailand,277.0
2016,Thailand,284.0
2017,Thailand,283.0
2018,Thailand,288.0
2019,Thailand,282.0
2020,Thailand,272.0
2021,Thailand,267.0
2022,Thailand,271.0
1985,Turkey,106.0
1986,Turkey,116.0
1987,Turkey,128.0
1988,Turkey,125.0
1989,Turkey,138.0
1990,Turkey,152.0
1991,Turkey,158.0
1992,Turkey,164.0
1993,Turkey,171.0
1994,Turkey,168.0
1995,Turkey,181.0
1996,Turkey,200.0
1997,Turkey,212.0
1998,Turkey,212.0
1999,Turkey,208.0
2000,Turkey,230.0
2001,Turkey,214.0
2002,Turkey,221.0
2003,Turkey,237.0
2004,Turkey,245.0
2005,Turkey,265.0
2006,Turkey,282.0
2007,Turkey,314.0
2008,Turkey,311.0
2009,Turkey,316.0
2010,Turkey,316.0
2011,Turkey,342.0
2012,Turkey,356.0
2013,Turkey,347.0
2014,Turkey,364.0
2015,Turkey,385.0
2016,Turkey,406.0
2017,Turkey,431.0
2018,Turkey,422.0
2019,Turkey,403.0
2020,Turkey,413.0
2021,Turkey,453.0
2022,Turkey,436.0
1948,Ukraine,104.0
1949,Ukraine,118.0
1950,Ukraine,132.0
1951,Ukraine,143.0
1952,Ukraine,153.0
1953,Ukraine,162.0
1954,Ukraine,177.0
1955,Ukraine,200.0
1956,Ukraine,220.0
1957,Ukraine,240.0
1958,Ukraine,257.0
1959,Ukraine,270.0
1960,Ukraine,281.0
1961,Ukraine,290.0
1962,Ukraine,304.0
1963,Ukraine,326.0
1964,Ukraine,347.0
1965,Ukraine,368.0
1966,Ukraine,388.0
1967,Ukraine,406.0
1968,Ukraine,417.0
1969,Ukraine,434.0
1970,Ukraine,457.0
1971,Ukraine,485.0
1972,Ukraine,510.0
1973,Ukraine,531.0
1974,Ukraine,552.0
1975,Ukraine,580.0
1976,Ukraine,602.0
1977,Ukraine,623.0
1978,Ukraine,644.0
1979,Ukraine,649.0
1980,Ukraine,675.0
1981,Ukraine,662.0
1982,Ukraine,674.0
1983,Ukraine,684.0
1984,Ukraine,690.0
1985,Ukraine,744.0
1986,Ukraine,741.0
1987,Ukraine,734.0
1988,Ukraine,727.0
1989,Ukraine,683.0
1990,Ukraine,706.0
1991,Ukraine,633.0
1992,Ukraine,589.0
1993,Ukraine,510.0
1994,Ukraine,419.0
1995,Ukraine,390.0
1996,Ukraine,352.0
1997,Ukraine,341.0
1998,Ukraine,329.0
1999,Ukraine,299.0
2000,Ukraine,286.0
2001,Ukraine,304.0
2002,Ukraine,296.0
2003,Ukraine,307.0
2004,Ukraine,311.0
2005,Ukraine,314.0
2006,Ukraine,333.0
2007,Ukraine,337.0
2008,Ukraine,326.0
2009,Ukraine,278.0
2010,Ukraine,294.0
2011,Ukraine,308.0
2012,Ukraine,304.0
2013,Ukraine,297.0
2014,Ukraine,258.0
2015,Ukraine,224.0
2016,Ukraine,234.0
2017,Ukraine,223.0
2018,Ukraine,232.0
2019,Ukraine,222.0
2020,Ukraine,207.0
2021,Ukraine,210.0
2022,Ukraine,141.0
2000,United Arab Emirates,112.0
2001,United Arab Emirates,101.0
2003,United Arab Emirates,106.0
2004,United Arab Emirates,112.0
2005,United Arab Emirates,114.0
2006,United Arab Emirates,122.0
2007,United Arab Emirates,133.0
2008,United Arab Emirates,154.0
2009,United Arab Emirates,168.0
2010,United Arab Emirates,185.0
2011,United Arab Emirates,198.0
2012,United Arab Emirates,207.0
2013,United Arab Emirates,213.0
2014,United Arab Emirates,210.0
2015,United Arab Emirates,226.0
2016,United Arab Emirates,227.0
2017,United Arab Emirates,212.0
2018,United Arab Emirates,209.0
2019,United Arab Emirates,220.0
2020,United Arab Emirates,217.0
2021,United Arab Emirates,237.0
2022,United Arab Emirates,244.0
1900,United Kingdom,420.0
1901,United Kingdom,411.0
1902,United Kingdom,427.0
1903,United Kingdom,430.0
1904,United Kingdom,432.0
1905,United Kingdom,438.0
1906,United Kingdom,453.0
1907,United Kingdom,474.0
1908,United Kingdom,462.0
1909,United Kingdom,466.0
1910,United Kingdom,470.0
1911,United Kingdom,481.0
1912,United Kingdom,456.0
1913,United Kingdom,498.0
1914,United Kingdom,483.0
1915,United Kingdom,489.0
1916,United Kingdom,507.0
1917,United Kingdom,501.0
1918,United Kingdom,467.0
1919,United Kingdom,456.0
1920,United Kingdom,471.0
1921,United Kingdom,320.0
1922,United Kingdom,428.0
1923,United Kingdom,455.0
1924,United Kingdom,476.0
1925,United Kingdom,450.0
1926,United Kingdom,246.0
1927,United Kingdom,467.0
1928,United Kingdom,438.0
1929,United Kingdom,461.0
1930,United Kingdom,441.0
1931,United Kingdom,412.0
1932,United Kingdom,396.0
1933,United Kingdom,392.0
1934,United Kingdom,423.0
1935,United Kingdom,429.0
1936,United Kingdom,454.0
1937,United Kingdom,468.0
1938,United Kingdom,449.0
1939,United Kingdom,452.0
1940,United Kingdom,475.0
1941,United Kingdom,470.0
1942,United Kingdom,469.0
1943,United Kingdom,455.0
1944,United Kingdom,442.0
1945,United Kingdom,418.0
1946,United Kingdom,436.0
1947,United Kingdom,461.0
1948,United Kingdom,476.0
1949,United Kingdom,485.0
1950,United Kingdom,501.0
1951,United Kingdom,545.0
1952,United Kingdom,529.0
1953,United Kingdom,540.0
1954,United Kingdom,553.0
1955,United Kingdom,577.0
1956,United Kingdom,574.0
1957,United Kingdom,571.0
1958,United Kingdom,556.0
1959,United Kingdom,547.0
1960,United Kingdom,584.0
1961,United Kingdom,589.0
1962,United Kingdom,593.0
1963,United Kingdom,603.0
1964,United Kingdom,608.0
1965,United Kingdom,622.0
1966,United Kingdom,618.0
1967,United Kingdom,592.0
1968,United Kingdom,606.0
1969,United Kingdom,628.0
1970,United Kingdom,653.0
1971,United Kingdom,660.0
1972,United Kingdom,648.0
1973,United Kingdom,660.0
1974,United Kingdom,617.0
1975,United Kingdom,603.0
1976,United Kingdom,599.0
1977,United Kingdom,604.0
1978,United Kingdom,605.0
1979,United Kingdom,645.0
1980,United Kingdom,579.0
1981,United Kingdom,561.0
1982,United Kingdom,548.0
1983,United Kingdom,545.0
1984,United Kingdom,529.0
1985,United Kingdom,560.0
1986,United Kingdom,569.0
1987,United Kingdom,572.0
1988,United Kingdom,570.0
1989,United Kingdom,582.0
1990,United Kingdom,602.0
1991,United Kingdom,609.0
1992,United Kingdom,594.0
1993,United Kingdom,580.0
1994,United Kingdom,574.0
1995,United Kingdom,566.0
1996,United Kingdom,587.0
1997,United Kingdom,563.0
1998,United Kingdom,569.0
1999,United Kingdom,562.0
2000,United Kingdom,569.0
2001,United Kingdom,578.0
2002,United Kingdom,560.0
2003,United Kingdom,572.0
2004,United Kingdom,573.0
2005,United Kingdom,570.0
2006,United Kingdom,568.0
2007,United Kingdom,560.0
2008,United Kingdom,545.0
2009,United Kingdom,494.0
2010,United Kingdom,512.0
2011,United Kingdom,470.0
2012,United Kingdom,487.0
2013,United Kingdom,478.0
2014,United Kingdom,439.0
2015,United Kingdom,422.0
2016,United Kingdom,399.0
2017,United Kingdom,387.0
2018,United Kingdom,380.0
2019,United Kingdom,365.0
2020,United Kingdom,326.0
2021,United Kingdom,347.0
2022,United Kingdom,319.0
1900,United States,663.0
1901,United States,722.0
1902,United States,764.0
1903,United States,894.0
1904,United States,882.0
1905,United States,986.0
1906,United States,1035.0
1907,United States,1204.0
1908,United States,1053.0
1909,United States,1166.0
1910,United States,1272.0
1911,United States,1259.0
1912,United States,1344.0
1913,United States,1443.0
1914,United States,1318.0
1915,United States,1368.0
1916,United States,1519.0
1917,United States,1671.0
1918,United States,1748.0
1919,United States,1479.0
1920,United States,1738.0
1921,United States,1424.0
1922,United States,1436.0
1923,United States,1897.0
1924,United States,1698.0
1925,United States,1758.0
1926,United States,1906.0
1927,United States,1863.0
1928,United States,1831.0
1929,United States,1964.0
1930,United States,1745.0
1931,United States,1485.0
1932,United States,1258.0
1933,United States,1349.0
1934,United States,1436.0
1935,United States,1492.0
1936,United States,1713.0
1937,United States,1793.0
1938,United States,1516.0
1939,United States,1671.0
1940,United States,1875.0
1941,United States,2044.0
1942,United States,2198.0
1943,United States,2272.0
1944,United States,2445.0
1945,United States,2360.0
1946,United States,2257.0
1947,United States,2486.0
1948,United States,2583.0
1949,United States,2165.0
1950,United States,2541.0
1951,United States,2619.0
1952,United States,2551.0
1953,United States,2613.0
1954,United States,2489.0
1955,United States,2729.0
1956,United States,2860.0
1957,United States,2836.0
1958,United States,2747.0
1959,United States,2832.0
1960,United States,2897.0
1961,United States,2887.0
1962,United States,2994.0
1963,United States,3126.0
1964,United States,3264.0
1965,United States,3400.0
1966,United States,3571.0
1967,United States,3705.0
1968,United States,3841.0
1969,United States,4035.0
1970,United States,4340.0
1971,United States,4365.0
1972,United States,4573.0
1973,United States,4785.0
1974,United States,4621.0
1975,United States,4478.0
1976,United States,4748.0
1977,United States,4890.0
1978,United States,4941.0
1979,United States,5009.0
1980,United States,4809.0
1981,United States,4686.0
1982,United States,4447.0
1983,United States,4429.0
1984,United States,4662.0
1985,United States,4653.0
1986,United States,4663.0
1987,United States,4826.0
1988,United States,5051.0
1989,United States,5132.0
1990,United States,5121.0
1991,United States,5063.0
1992,United States,5174.0
1993,United States,5273.0
1994,United States,5364.0
1995,United States,5425.0
1996,United States,5613.0
1997,United States,5688.0
1998,United States,5733.0
1999,United States,5804.0
2000,United States,6010.0
2001,United States,5908.0
2002,United States,5946.0
2003,United States,6010.0
2004,United States,6113.0
2005,United States,6132.0
2006,United States,6053.0
2007,United States,6130.0
2008,United States,5915.0
2009,United States,5481.0
2010,United States,5680.0
2011,United States,5546.0
2012,United States,5344.0
2013,United States,5480.0
2014,United States,5529.0
2015,United States,5376.0
2016,United States,5253.0
2017,United States,5212.0
2018,United States,5378.0
2019,United States,5262.0
2020,United States,4715.0
2021,United States,5032.0
2022,United States,5057.0
1988,Uzbekistan,101.0
1989,Uzbekistan,104.0
1990,Uzbekistan,104.0
1991,Uzbekistan,102.0
1992,Uzbekistan,111.0
1993,Uzbekistan,116.0
1994,Uzbekistan,110.0
1995,Uzbekistan,105.0
1996,Uzbekistan,108.0
1997,Uzbekistan,109.0
1998,Uzbekistan,121.0
1999,Uzbekistan,124.0
2000,Uzbekistan,123.0
2001,Uzbekistan,126.0
2002,Uzbekistan,133.0
2003,Uzbekistan,130.0
2004,Uzbekistan,129.0
2005,Uzbekistan,122.0
2006,Uzbekistan,125.0
2007,Uzbekistan,124.0
2008,Uzbekistan,128.0
2009,Uzbekistan,109.0
2010,Uzbekistan,108.0
2011,Uzbekistan,117.0
2012,Uzbekistan,119.0
2013,Uzbekistan,112.0
2014,Uzbekistan,107.0
2015,Uzbekistan,104.0
2016,Uzbekistan,110.0
2017,Uzbekistan,109.0
2018,Uzbekistan,102.0
2019,Uzbekistan,108.0
2020,Uzbekistan,110.0
2021,Uzbekistan,116.0
2022,Uzbekistan,121.0
1985,Venezuela,101.0
1986,Venezuela,109.0
1987,Venezuela,111.0
1988,Venezuela,116.0
1989,Venezuela,109.0
1990,Venezuela,122.0
1991,Venezuela,115.0
1992,Venezuela,106.0
1993,Venezuela,124.0
1994,Venezuela,120.0
1995,Venezuela,125.0
1996,Venezuela,118.0
1997,Venezuela,130.0
1998,Venezuela,170.0
1999,Venezuela,143.0
2000,Venezuela,143.0
2001,Venezuela,131.0
2002,Venezuela,164.0
2003,Venezuela,154.0
2004,Venezuela,143.0
2005,Venezuela,148.0
2006,Venezuela,156.0
2007,Venezuela,154.0
2008,Venezuela,156.0
2009,Venezuela,152.0
2010,Venezuela,189.0
2011,Venezuela,168.0
2012,Venezuela,176.0
2013,Venezuela,198.0
2014,Venezuela,176.0
2015,Venezuela,166.0
2016,Venezuela,152.0
2017,Venezuela,138.0
2018,Venezuela,101.0
2006,Vietnam,100.0
2007,Vietnam,101.0
2008,Vietnam,114.0
2009,Vietnam,124.0
2010,Vietnam,140.0
2011,Vietnam,153.0
2012,Vietnam,144.0
2013,Vietnam,151.0
2014,Vietnam,182.0
2015,Vietnam,215.0
2016,Vietnam,223.0
2017,Vietnam,230.0
2018,Vietnam,258.0
2019,Vietnam,342.0
2020,Vietnam,363.0
2021,Vietnam,353.0
2022,Vietnam,344.0
